,origin,sn_name,sn_name_sp,sn_name_PTF,sn_name_iau,sn_name_tns,program,ls_id_dr9,dec_dr9,ra_dr9,elat_dr9,elon_dr9,glat_dr9,glon_dr9,mjd_max_dr9,mjd_min_dr9,ref_id_dr9,brickid_dr9,blob_nea_g_dr9,blob_nea_r_dr9,blob_nea_z_dr9,bx_dr9,by_dr9,dchisq_1_dr9,dchisq_2_dr9,dchisq_3_dr9,dchisq_4_dr9,dchisq_5_dr9,dec_ivar_dr9,dered_flux_g_dr9,dered_flux_r_dr9,dered_flux_w1_dr9,dered_flux_w2_dr9,dered_flux_w3_dr9,dered_flux_w4_dr9,dered_flux_z_dr9,dered_mag_g_dr9,dered_mag_r_dr9,dered_mag_w1_dr9,dered_mag_w2_dr9,dered_mag_w3_dr9,dered_mag_w4_dr9,dered_mag_z_dr9,ebv_dr9,fiberflux_g_dr9,fiberflux_r_dr9,fiberflux_z_dr9,fibertotflux_g_dr9,fibertotflux_r_dr9,fibertotflux_z_dr9,flux_g_dr9,flux_ivar_g_dr9,flux_ivar_r_dr9,flux_ivar_w1_dr9,flux_ivar_w2_dr9,flux_ivar_w3_dr9,flux_ivar_w4_dr9,flux_ivar_z_dr9,flux_r_dr9,flux_w1_dr9,flux_w2_dr9,flux_w3_dr9,flux_w4_dr9,flux_z_dr9,fracflux_g_dr9,fracflux_r_dr9,fracflux_w1_dr9,fracflux_w2_dr9,fracflux_w3_dr9,fracflux_w4_dr9,fracflux_z_dr9,fracin_g_dr9,fracin_r_dr9,fracin_z_dr9,fracmasked_g_dr9,fracmasked_r_dr9,fracmasked_z_dr9,gaia_a_g_val_dr9,gaia_astrometric_excess_noise_dr9,gaia_astrometric_excess_noise_sig_dr9,gaia_astrometric_sigma5d_max_dr9,gaia_astrometric_weight_al_dr9,gaia_e_bp_min_rp_val_dr9,gaia_phot_bp_mean_flux_over_error_dr9,gaia_phot_bp_mean_mag_dr9,gaia_phot_bp_rp_excess_factor_dr9,gaia_phot_g_mean_flux_over_error_dr9,gaia_phot_g_mean_mag_dr9,gaia_phot_rp_mean_flux_over_error_dr9,gaia_phot_rp_mean_mag_dr9,galdepth_g_dr9,galdepth_r_dr9,galdepth_z_dr9,g_r_dr9,htm9_dr9,mag_g_dr9,mag_r_dr9,mag_w1_dr9,mag_w2_dr9,mag_w3_dr9,mag_w4_dr9,mag_z_dr9,mw_transmission_g_dr9,mw_transmission_r_dr9,mw_transmission_w1_dr9,mw_transmission_w2_dr9,mw_transmission_w3_dr9,mw_transmission_w4_dr9,mw_transmission_z_dr9,nea_g_dr9,nea_r_dr9,nea_z_dr9,nest4096_dr9,objid_dr9,parallax_ivar_dr9,parallax_dr9,pmdec_ivar_dr9,pmdec_dr9,pmra_ivar_dr9,pmra_dr9,psfdepth_g_dr9,psfdepth_r_dr9,psfdepth_w1_dr9,psfdepth_w2_dr9,psfdepth_w3_dr9,psfdepth_w4_dr9,psfdepth_z_dr9,psfsize_g_dr9,psfsize_r_dr9,psfsize_z_dr9,ra_ivar_dr9,random_id_dr9,rchisq_g_dr9,rchisq_r_dr9,rchisq_w1_dr9,rchisq_w2_dr9,rchisq_w3_dr9,rchisq_w4_dr9,rchisq_z_dr9,ref_epoch_dr9,ring256_dr9,r_z_dr9,sersic_ivar_dr9,sersic_dr9,shape_e1_ivar_dr9,shape_e1_dr9,shape_e2_ivar_dr9,shape_e2_dr9,shape_r_ivar_dr9,shape_r_dr9,snr_g_dr9,snr_r_dr9,snr_w1_dr9,snr_w2_dr9,snr_w3_dr9,snr_w4_dr9,snr_z_dr9,w1_w2_dr9,w2_w3_dr9,w3_w4_dr9,wise_x_dr9,wise_y_dr9,z_w1_dr9,allmask_g_dr9,allmask_r_dr9,allmask_z_dr9,anymask_g_dr9,anymask_r_dr9,anymask_z_dr9,brick_primary_dr9,fitbits_dr9,gaia_astrometric_n_good_obs_al_dr9,gaia_astrometric_n_obs_al_dr9,gaia_astrometric_params_solved_dr9,gaia_duplicated_source_dr9,gaia_phot_bp_n_obs_dr9,gaia_phot_g_n_obs_dr9,gaia_phot_rp_n_obs_dr9,gaia_phot_variable_flag_dr9,maskbits_dr9,nobs_g_dr9,nobs_r_dr9,nobs_w1_dr9,nobs_w2_dr9,nobs_w3_dr9,nobs_w4_dr9,nobs_z_dr9,release_dr9,wisemask_w1_dr9,wisemask_w2_dr9,brickname_dr9,ref_cat_dr9,type_dr9,wise_coadd_id_dr9,photoz_dr9,zdif_dr9,Dist_degrees_dr9,Dist_arcsec_dr9,Dist_kpc_dr9,sep_in_radius_dr9,sep_in_radius_sigma_dr9,sep_in_radius_higher_dr9,sga_id_sga,sga_galaxy_sga,galaxy_sga,pgc_sga,ra_leda_sga,dec_leda_sga,morphtype_sga,pa_leda_sga,d25_leda_sga,ba_leda_sga,z_leda_sga,sb_d25_leda_sga,mag_leda_sga,byhand_sga,ref_sga,group_id_sga,group_name_sga,group_mult_sga,group_primary_sga,group_ra_sga,group_dec_sga,group_diameter_sga,brickname_sga,ra_sga,dec_sga,d26_sga,d26_ref_sga,pa_sga,ba_sga,ra_moment_sga,dec_moment_sga,sma_moment_sga,type,z,sn_ra,sn_dec
0,dr9 and local_universe,AT2019wxt,AT2019wxt,None,None,None,ZTFmarshal,9906632745947712.0,31.41810664461559,28.92235505551313,18.306165594609485,38.11577772940904,-29.48241752950143,138.67060314808666,58427.21687946074,58393.25387893074,158665.0,503230.0,171.96107,163.54068,160.31754,707.97076,674.7092,0.0,0.0,0.0,0.0,0.0,72836924000000.0,874.2185,1606.263,2102.2795,1415.6168,7469.293,13399.979,2611.2554,15.14595,14.485458,14.193274,14.622636,12.816801,12.18224,13.957876,0.056424,47.531918,92.22683,157.55104,47.531918,92.22683,157.55104,739.7446,14.073679,4.577083,0.149927,0.069259,0.000329,7e-06,1.718968,1435.3367,2082.2732,1407.3281,7459.9443,13393.644,2451.9846,0.74209,0.919531,0.012138,0.008954,0.019434,0.140905,0.15883,0.750513,0.749816,0.800102,0.01606,0.0128,0.012463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.38715,344.31842,73.182686,0.71968,4133178.0,15.327295,14.607615,14.203656,14.629011,12.818161,12.182754,14.026206,0.846178,0.893588,0.990483,0.994145,0.998748,0.999527,0.939006,172.10303,163.59145,160.40875,8853171.0,4673.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.937,523.48413,4.192779,0.723787,0.000876,1.3e-05,124.22924,1.848345,1.56477,1.387938,46880445000000.0,79.13073,24.867199,17.239727,325.58417,62.916435,5.816287,0.365314,48.038612,0.0,187986.0,0.581409,647741.75,2.640934,28506486.0,-0.166925,29281802.0,-0.173923,398180.1,6.300947,2775.1448,3070.7764,806.2643,370.36874,135.22583,35.98488,3214.783,-0.425355,1.81085,0.635407,68.06005,65.61601,-0.17745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,3.0,3.0,185.0,172.0,13.0,14.0,4.0,9010.0,0.0,0.0,0288p315,L3,SER,0282p318,0.034233,0.0017669999999999,0.002055381988874,7.399375159946739,5.295131157196703,1.1743274717192096,0.0002953545179002,1.17462282623711,158665.0,SGA-2020 158665,PGC007193,7193.0,28.922208,31.4180278,Sab,116.0,0.666807,0.439542,0.0357247,23.4155,15.667,False,LEDA-20181114,56689.0,PGC007193,1.0,True,28.922208,31.4180278,0.666807,0288p315,28.9223550555131,31.4181066446156,0.99496,SB26,112.062,0.623967,28.9223657578909,31.418080923525,22.2925,SN-IIb,0.036,28.92475,31.41788889
1,dr9,AT2019wxt,AT2019wxt,None,None,None,ZTFmarshal,9906632745947744.0,31.421285019204163,28.924232742814205,18.308534907379567,38.11857565853444,-29.478915687314966,138.67133576833896,58427.21687946074,58393.25387893074,0.0,503230.0,14.311781,12.159375,11.243658,685.9909,718.4005,0.0,0.0,0.0,0.0,0.0,435576440000.0,5.526096,12.764881,2.759297,0.824331,6.307876,110.46349,21.14046,20.643953,19.734959,21.398005,22.709745,20.500292,17.391953,19.187214,0.056563,1.816457,4.431564,7.713276,2.000788,4.789224,8.324267,4.674139,575.04663,184.58363,2.098142,0.541031,0.000807,1.2e-05,44.291126,11.403381,2.732974,0.819493,6.299961,110.41113,19.847944,0.355002,0.233087,34.074123,91.050224,159.55608,37.065414,0.206099,0.750002,0.75,0.800001,0.000138,0.000118,0.000151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.38715,344.31842,73.182686,0.96833,4133178.0,20.825747,19.857416,21.408411,22.716137,20.501656,17.392467,19.25571,0.84583,0.89334,0.99046,0.99413,0.998745,0.999526,0.938861,14.311505,12.159205,11.243285,8853171.0,4704.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.937,523.48413,4.192779,0.723787,0.000876,1.3e-05,124.22924,1.848345,1.56477,1.387938,471680880000.0,75.356804,1.238714,1.319925,47.30387,6.62709,1.6374,0.275499,1.2579,0.0,187986.0,0.601706,0.0,1.0,0.0,0.0,0.0,0.0,40522.695,0.721678,112.08647,154.92812,3.958703,0.602776,0.178966,0.383735,132.0912,-1.307726,2.214481,3.109188,65.98852,69.790245,-2.1527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,3.0,3.0,184.0,172.0,13.0,14.0,4.0,9010.0,0.0,0.0,0288p315,,REX,0282p318,0.153928,0.117928,0.0034246954351205,12.328903566433928,8.822793816710297,17.08366275047033,0.1175948663225535,17.201257616792883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-IIb,0.036,28.92475,31.41788889
2,dr9,AT2020nlb,AT2020nlb,None,None,None,ZTFmarshal,9906628245914392.0,18.2122564337373,186.3598734111367,19.18405014838826,178.31452352480602,79.25999303776742,267.6919953167109,58194.24573223073,57110.18836480259,0.0,434565.0,83.82974,75.872986,80.89636,2818.6477,1281.103,0.0,0.0,0.0,0.0,0.0,245608070000.0,23.024107,37.252274,-319.7527,-316.7574,-319.85757,61.4096,65.961525,19.094543,18.572119,,,,18.02941,17.951773,0.030645,2.523437,4.205534,7.649855,5.48455,10.111115,17.976038,21.0274,29.473595,10.505239,0.875652,0.203245,0.000329,6e-06,2.617214,35.04404,-318.09637,-315.74872,-319.64008,61.393826,63.745014,26.490599,16.120806,2015.9452,1822.2162,671.86487,4517.788,38.521717,0.707759,0.716764,0.699879,0.034139,0.045506,0.037095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.6863,307.41748,49.353558,0.554573,3595823.0,19.193037,18.638464,,,,18.029688,17.988884,0.913278,0.940722,0.99482,0.996816,0.99932,0.999743,0.966397,76.57324,68.778206,70.20783,114874025.0,793.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.5925,620.4718,4.085526,0.739347,0.000955,1.2e-05,98.15689,1.255506,1.06656,1.117588,480079600000.0,51.295395,3.234643,4.599006,1612.3978,310.02893,0.908476,0.128594,4.160811,0.0,270354.0,0.64958,458.05347,5.76646,26864.826,0.338376,11985.376,0.058939,311.5144,7.336,114.15688,113.58399,-297.66278,-142.348,-5.796681,0.149436,103.12544,,,,268.94897,123.5199,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,3.0,3.0,171.0,171.0,13.0,12.0,3.0,9010.0,0.0,0.0,1864p182,,SER,1871p181,0.143765,0.141193,0.0123344386086407,44.403978991106754,2.363868276674101,6.052886994425675,0.046748123171715,6.09963511759739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,0.002572,186.3507525,18.2034775
3,local_universe,AT2020nlb,AT2020nlb,None,None,None,ZTFmarshal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901889.0,SGA-2020 901889,NGC4382,40515.0,186.350141722709,18.1911434430308,S0-a,0.0,6.95024,0.76913,0.00239733,22.7815,9.943,True,LEDA-20181114,13121.0,NGC4382_GROUP,3.0,True,186.392159804153,18.1961194449232,9.36383,1864p182,186.350290156032,18.1912025458553,9.41054,SB26,21.0364,0.751236,186.350213522908,18.1912753109271,200.337,SNIa,0.002572,186.3507525,18.2034775
4,dr9,DG19qabkc,SN2019nqc,None,None,SN2019nqc,ZTFmarshal,9906609713644284.0,-32.704696065153065,22.264793166469644,-38.50214107076628,5.689988686845799,-80.13027719367805,249.58761755299665,58392.35420789074,56977.244840552594,0.0,151785.0,19.341919,18.24846,17.790403,3233.255,2421.1587,17636.248,23373.975,24315.76,24206.672,24398.205,199087490000.0,4.296899,6.048574,3.614036,3.844892,-4.170919,-6848.572,7.155838,20.917112,20.545868,21.105019,21.03779,,,20.363348,0.026458,1.088925,1.572525,1.904151,1.088926,1.572526,1.904152,3.973208,759.041,301.44498,2.936979,0.681053,0.001024,1.4e-05,45.70612,5.737739,3.597867,3.834319,-4.168471,-6847.053,6.947755,0.01358,0.008689,0.6723,0.797138,24.262884,1.036358,0.012791,0.997644,0.99781,0.997546,0.017379,0.016317,0.017617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.6377,927.94385,127.97802,0.398998,2338404.0,21.002146,20.603148,21.109886,21.04078,,,20.39539,0.924669,0.94861,0.995526,0.99725,0.999413,0.999778,0.970921,19.337923,18.245216,17.787071,145987049.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.2341,1598.145,4.962764,0.929679,0.00133,1.7e-05,234.10428,1.390081,1.321738,1.25422,207048110000.0,33.42976,1.043739,1.023878,0.426183,0.464308,0.468905,0.104237,0.969708,0.0,605759.0,0.207758,248.82385,1.945505,7786.5425,0.02061,15239.9375,-0.348869,4672.557,1.540643,109.46467,99.619606,6.165887,3.164307,-0.133402,-25.3795,46.9712,0.069107,,,291.05298,232.82495,-0.714497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,193.0,197.0,15.0,15.0,7.0,9010.0,0.0,0.0,0223m327,,SER,0215m334,0.117489,0.040489,0.0006165605464769,2.2196179673168914,3.2370134233469594,1.4407088256766112,0.0136803402042388,1.45438916588085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-II,0.077,22.2653028,-32.70513906
5,dr9,DG19qabkc,SN2019nqc,None,None,SN2019nqc,ZTFmarshal,9906609713644180.0,-32.70742517365049,22.261274050718946,-38.50315644966595,5.685009168541903,-80.13134467487998,249.6102717789416,58392.35420789074,56977.244840552594,0.0,151785.0,38.339733,37.053986,36.863567,3273.8984,2383.611,148934.98,328102.06,337986.62,350820.8,350938.3,1956911800000.0,18.134068,39.973408,57.967896,44.050724,-22.452496,431.09692,66.908455,19.353762,18.495571,18.092031,18.390118,,15.913563,17.936298,0.026448,2.283994,5.164977,8.848521,2.283994,5.164977,8.848521,16.768494,335.29474,118.7558,1.834031,0.515214,0.000905,1.3e-05,20.365572,37.919926,57.70866,43.929638,-22.43932,431.00137,64.96355,0.005872,0.001549,0.046284,0.082469,5.221059,2.038566,-0.000434,1.0,1.0,0.999999,0.002357,0.00233,0.002693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.6377,927.94385,127.97802,0.885933,2338404.0,19.438765,18.552832,18.096897,18.393106,,15.913803,17.968327,0.924696,0.948629,0.995528,0.997251,0.999413,0.999778,0.970932,38.33917,37.053185,36.862843,145987049.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.2341,1598.145,4.962764,0.929679,0.00133,1.7e-05,234.10428,1.390081,1.321738,1.25422,744534970000.0,67.161674,1.310286,1.33279,1.450939,0.792232,0.635954,0.122486,1.3042,0.0,605759.0,0.584505,16805.307,1.100796,481190.62,-0.312718,272084.44,0.110269,49416.11,2.495192,307.0488,413.2329,78.152756,31.531998,-0.674911,1.556351,293.169,-0.296209,,,294.95267,229.27605,-0.128571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,194.0,198.0,15.0,15.0,7.0,9010.0,0.0,0.0,0223m327,,SER,0215m334,0.196934,0.119934,0.0040888137158013,14.719729376884978,21.46673989966338,5.899237163667156,0.0106354925900619,5.9098726562572175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-II,0.077,22.2653028,-32.70513906
6,dr9,DG19qabkc,SN2019nqc,None,None,SN2019nqc,ZTFmarshal,9906609713644720.0,-32.70766835767174,22.277906952254654,-38.50995460658616,5.700645534651867,-80.11934065079063,249.568288095472,58392.35420789074,56977.244840552594,0.0,151785.0,20.193508,19.071669,18.721354,3081.5884,2380.4858,90915.26,152319.39,203600.34,212262.3,213329.94,3522169000000.0,14.503372,20.029032,19.144455,11.241944,50.11146,3775.5466,24.602432,19.596327,19.24585,19.294893,19.872896,18.250156,13.55755,19.022554,0.026419,2.639461,3.739311,4.701008,2.639461,3.739311,4.701008,13.412355,572.7288,239.5497,2.622534,0.63847,0.001001,1.4e-05,41.650307,19.001211,19.058933,11.211076,50.08208,3774.7107,23.888056,0.018011,0.006862,0.067803,0.154273,0.658724,1.030031,-0.001152,0.998631,0.998599,0.998109,0.003521,0.003001,0.003602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.6377,927.94385,127.97802,0.378191,2338404.0,19.681238,19.303047,19.299753,19.875881,18.250793,13.557791,19.054548,0.924775,0.948684,0.995533,0.997254,0.999414,0.999779,0.970963,20.193102,19.07124,18.720924,145987049.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.2341,1598.145,4.962764,0.929679,0.00133,1.7e-05,234.10428,1.390081,1.321738,1.25422,441838340000.0,50.414383,1.373692,1.298498,0.51208,0.986562,0.804082,0.118178,1.330314,0.0,605759.0,0.248499,23474.941,0.510005,257864.47,-0.675182,279028.7,0.267014,29089.945,2.417727,320.98117,294.0892,30.864492,8.958132,1.584786,13.982343,154.16646,-0.576128,1.625088,4.693003,276.63077,228.8419,-0.245205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,194.0,197.0,15.0,15.0,7.0,9010.0,0.0,0.0,0223m327,,SER,0215m334,0.10383,0.02683,0.0109031959148845,39.25150529358423,57.24302622919188,16.234878997332714,0.0393704469843689,16.274249444317082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-II,0.077,22.2653028,-32.70513906
10,dr9,DG19wxnjc,SN2019npv,None,None,SN2019npv,ZTFmarshal,9906612703790058.0,-23.8321946566301,13.385168595452663,-27.061674244804564,2.159615151148596,-86.66997015574981,131.23923365730369,58382.24504777074,56997.1304724126,0.0,197411.0,21.697918,24.130478,24.620857,3242.8013,669.5226,59677.445,137068.75,131198.92,139229.05,139977.3,556493800000.0,15.637928,19.390217,10.089813,16.898039,-236.95082,16208.854,21.524614,19.514551,19.281044,19.990292,19.430408,,11.975619,19.167662,0.019158,2.385655,3.01335,3.401833,2.749752,3.563692,4.09248,14.775765,371.73926,234.22945,2.480406,0.591616,0.000817,1.1e-05,32.99794,18.663454,10.057108,16.86438,-236.85008,16206.251,21.069555,0.330959,0.39465,1.525494,0.367213,1.141599,0.997545,0.454871,0.874987,0.857133,0.876222,0.058887,0.000751,0.001073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957.3514,1259.5568,141.8998,0.253605,2148352.0,19.576124,19.32252,19.993816,19.432573,,11.975794,19.19086,0.944867,0.962519,0.996759,0.998008,0.999575,0.999839,0.978859,25.080387,24.13019,24.58673,68280375.0,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,3659.1123,2381.8267,4.322619,0.767395,0.000926,1.2e-05,279.1566,1.251814,1.172826,1.160723,881321000000.0,79.35716,3.179646,4.099063,0.739488,0.392102,0.628,0.065768,1.592896,0.0,551462.0,0.131659,18353.414,0.606701,285049.94,0.145968,154631.8,-0.064975,74008.664,1.671249,284.88474,285.6359,15.839245,12.971499,-6.771709,54.306355,121.0316,0.561243,,,309.94733,64.61081,-0.802956,0.0,0.0,0.0,2048.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,186.0,182.0,13.0,13.0,7.0,9010.0,0.0,0.0,0135m237,,SER,0132m243,0.052536,0.0034639999999998,0.0008551530838704,3.078551101933644,3.3465576713104244,1.8420660846670027,0.0040515645633968,1.8461176492304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIb/c,0.0559999999999999,13.3846595,-23.83291189
11,dr9 and local_universe,PGIR19hj,PGIR19hj,None,None,None,ZTFmarshal,9907739406109382.0,58.32130077516701,186.53362158849603,53.56705367021919,151.46590132156996,58.493553761322175,129.2889064005745,57909.27276620073,57495.27572916668,59378.0,612308.0,0.0,0.0,0.0,676.2126,2780.5044,0.0,0.0,0.0,0.0,0.0,736612700000.0,4694.416,6290.16,717.7617,148.59923,-1545.472,-12599.836,2709.491,13.321046,13.003345,15.360049,17.069958,,,13.917781,0.01157,8.563847,11.603893,5.049458,8.56573,11.606943,5.057347,4536.36,0.208326,0.051293,0.01856,0.006299,1.6e-05,1e-06,0.014281,6146.704,716.3558,148.4204,-1545.0752,-12598.614,2674.7507,4.293748,2.77172,68.70919,203.2315,15.569124,8.125818,1.193666,0.819262,0.819416,0.549701,0.147045,0.146741,0.152802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.6836,190.98352,51.86378,0.329837,3503694.0,13.358232,13.028395,15.362178,17.071266,,,13.931791,0.966331,0.977194,0.998041,0.998797,0.999743,0.999903,0.987178,28572.697,27909.977,30200.1,46009234.0,2758.0,0.0,0.0,0.0,0.0,0.0,0.0,645.1956,291.5013,7.774655,1.46038,0.001421,1.7e-05,90.413536,2.23961,1.518979,1.309002,920187630000.0,1.244459,6.678762,4.441802,26.73452,3.271336,0.71554,0.139494,1.933155,0.0,58494.0,-0.903397,636443.56,2.2913,5981777.0,0.106115,10719213.0,0.212696,2991.523,83.63251,2070.521,1392.1049,97.59226,11.779346,-6.250298,-9.544354,319.6418,-1.709088,,,63.831043,54.329727,-1.430387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,4.0,4.0,276.0,276.0,17.0,17.0,3.0,9011.0,0.0,0.0,1863p582,L3,SER,1872p590,0.005241,0.002831,0.0106256173856259,38.2522225882536,1.9084912507358256,0.4573846054393632,9.999084508159002e-05,0.4574845962844448,59378.0,SGA-2020 59378,UGC07534,40645.0,186.5330715,58.3202835,I,36.0,1.94536,0.799834,0.00240867,23.5415,13.468,False,LEDA-20181114,19256.0,UGC07534,1.0,True,186.5330715,58.3202835,1.94536,1863p582,186.533621588496,58.321300775167,3.78845,SB26,31.7426,0.615904,186.533483004727,58.321373553559,167.265,SN-II,0.00241,186.5501613,58.3151815
12,dr9,PGIR19hj,PGIR19hj,None,None,None,ZTFmarshal,9907739406109534.0,58.31910390967401,186.55268221220945,53.57207528222281,151.48094517867332,58.49758733641444,129.27087766563105,57909.27276620073,57495.27572916668,0.0,612308.0,60.1811,42.333076,39.068054,538.5953,2750.656,0.0,0.0,0.0,0.0,0.0,6733203000.0,2.907342,3.792895,-0.013241,-3.795532,45.132637,1224.7985,4.589594,21.341259,21.052572,,,18.363773,14.779839,20.845564,0.011268,0.520407,0.68635,0.838782,0.757932,1.005738,0.973203,2.811968,101.042015,33.101665,2.497902,0.660341,0.000871,1.3e-05,8.80107,3.708625,-0.013216,-3.791084,45.12135,1224.6829,4.532274,3.102267,2.18214,209.52696,3.184506,1.504209,113.51341,0.682861,0.999999,0.999999,1.0,0.000297,0.000828,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.6836,190.98352,51.86378,0.300507,3503686.0,21.377474,21.076967,,,18.364044,14.779941,20.85921,0.967195,0.977782,0.998092,0.998828,0.99975,0.999906,0.987511,60.181747,42.332413,39.068104,46009232.0,2910.0,0.0,0.0,0.0,0.0,0.0,0.0,645.1956,291.5013,7.774655,1.46038,0.001421,1.7e-05,90.413536,2.23961,1.518979,1.309002,8450340400.0,76.45481,1.18318,0.939681,3.224138,0.865725,0.479569,0.128128,1.039091,0.0,58494.0,0.217758,0.0,4.0,389.25613,0.110928,690.65216,-0.420702,44.635677,3.369505,28.265804,21.33722,-0.020888,-3.080687,1.331505,4.417675,13.445716,,,3.584104,50.754272,51.325516,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,4.0,4.0,272.0,274.0,17.0,17.0,3.0,9011.0,0.0,0.0,1863p582,,DEV,1872p590,0.15757,0.15516,0.0041398482253334,14.903453611200405,0.7435675340720583,4.423039470545496,0.1964778724287869,4.619517342974283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-II,0.00241,186.5501613,58.3151815
