,origin,sn_name,sn_name_sp,sn_name_PTF,sn_name_iau,sn_name_tns,program,ls_id_dr9,dec_dr9,ra_dr9,elat_dr9,elon_dr9,glat_dr9,glon_dr9,mjd_max_dr9,mjd_min_dr9,ref_id_dr9,brickid_dr9,blob_nea_g_dr9,blob_nea_r_dr9,blob_nea_z_dr9,bx_dr9,by_dr9,dchisq_1_dr9,dchisq_2_dr9,dchisq_3_dr9,dchisq_4_dr9,dchisq_5_dr9,dec_ivar_dr9,dered_flux_g_dr9,dered_flux_r_dr9,dered_flux_w1_dr9,dered_flux_w2_dr9,dered_flux_w3_dr9,dered_flux_w4_dr9,dered_flux_z_dr9,dered_mag_g_dr9,dered_mag_r_dr9,dered_mag_w1_dr9,dered_mag_w2_dr9,dered_mag_w3_dr9,dered_mag_w4_dr9,dered_mag_z_dr9,ebv_dr9,fiberflux_g_dr9,fiberflux_r_dr9,fiberflux_z_dr9,fibertotflux_g_dr9,fibertotflux_r_dr9,fibertotflux_z_dr9,flux_g_dr9,flux_ivar_g_dr9,flux_ivar_r_dr9,flux_ivar_w1_dr9,flux_ivar_w2_dr9,flux_ivar_w3_dr9,flux_ivar_w4_dr9,flux_ivar_z_dr9,flux_r_dr9,flux_w1_dr9,flux_w2_dr9,flux_w3_dr9,flux_w4_dr9,flux_z_dr9,fracflux_g_dr9,fracflux_r_dr9,fracflux_w1_dr9,fracflux_w2_dr9,fracflux_w3_dr9,fracflux_w4_dr9,fracflux_z_dr9,fracin_g_dr9,fracin_r_dr9,fracin_z_dr9,fracmasked_g_dr9,fracmasked_r_dr9,fracmasked_z_dr9,gaia_a_g_val_dr9,gaia_astrometric_excess_noise_dr9,gaia_astrometric_excess_noise_sig_dr9,gaia_astrometric_sigma5d_max_dr9,gaia_astrometric_weight_al_dr9,gaia_e_bp_min_rp_val_dr9,gaia_phot_bp_mean_flux_over_error_dr9,gaia_phot_bp_mean_mag_dr9,gaia_phot_bp_rp_excess_factor_dr9,gaia_phot_g_mean_flux_over_error_dr9,gaia_phot_g_mean_mag_dr9,gaia_phot_rp_mean_flux_over_error_dr9,gaia_phot_rp_mean_mag_dr9,galdepth_g_dr9,galdepth_r_dr9,galdepth_z_dr9,g_r_dr9,htm9_dr9,mag_g_dr9,mag_r_dr9,mag_w1_dr9,mag_w2_dr9,mag_w3_dr9,mag_w4_dr9,mag_z_dr9,mw_transmission_g_dr9,mw_transmission_r_dr9,mw_transmission_w1_dr9,mw_transmission_w2_dr9,mw_transmission_w3_dr9,mw_transmission_w4_dr9,mw_transmission_z_dr9,nea_g_dr9,nea_r_dr9,nea_z_dr9,nest4096_dr9,objid_dr9,parallax_ivar_dr9,parallax_dr9,pmdec_ivar_dr9,pmdec_dr9,pmra_ivar_dr9,pmra_dr9,psfdepth_g_dr9,psfdepth_r_dr9,psfdepth_w1_dr9,psfdepth_w2_dr9,psfdepth_w3_dr9,psfdepth_w4_dr9,psfdepth_z_dr9,psfsize_g_dr9,psfsize_r_dr9,psfsize_z_dr9,ra_ivar_dr9,random_id_dr9,rchisq_g_dr9,rchisq_r_dr9,rchisq_w1_dr9,rchisq_w2_dr9,rchisq_w3_dr9,rchisq_w4_dr9,rchisq_z_dr9,ref_epoch_dr9,ring256_dr9,r_z_dr9,sersic_ivar_dr9,sersic_dr9,shape_e1_ivar_dr9,shape_e1_dr9,shape_e2_ivar_dr9,shape_e2_dr9,shape_r_ivar_dr9,shape_r_dr9,snr_g_dr9,snr_r_dr9,snr_w1_dr9,snr_w2_dr9,snr_w3_dr9,snr_w4_dr9,snr_z_dr9,w1_w2_dr9,w2_w3_dr9,w3_w4_dr9,wise_x_dr9,wise_y_dr9,z_w1_dr9,allmask_g_dr9,allmask_r_dr9,allmask_z_dr9,anymask_g_dr9,anymask_r_dr9,anymask_z_dr9,brick_primary_dr9,fitbits_dr9,gaia_astrometric_n_good_obs_al_dr9,gaia_astrometric_n_obs_al_dr9,gaia_astrometric_params_solved_dr9,gaia_duplicated_source_dr9,gaia_phot_bp_n_obs_dr9,gaia_phot_g_n_obs_dr9,gaia_phot_rp_n_obs_dr9,gaia_phot_variable_flag_dr9,maskbits_dr9,nobs_g_dr9,nobs_r_dr9,nobs_w1_dr9,nobs_w2_dr9,nobs_w3_dr9,nobs_w4_dr9,nobs_z_dr9,release_dr9,wisemask_w1_dr9,wisemask_w2_dr9,brickname_dr9,ref_cat_dr9,type_dr9,wise_coadd_id_dr9,photoz_dr9,zdif_dr9,Dist_degrees_dr9,Dist_arcsec_dr9,Dist_kpc_dr9,sep_in_radius_dr9,sep_in_radius_sigma_dr9,sep_in_radius_higher_dr9,sga_id_sga,sga_galaxy_sga,galaxy_sga,pgc_sga,ra_leda_sga,dec_leda_sga,morphtype_sga,pa_leda_sga,d25_leda_sga,ba_leda_sga,z_leda_sga,sb_d25_leda_sga,mag_leda_sga,byhand_sga,ref_sga,group_id_sga,group_name_sga,group_mult_sga,group_primary_sga,group_ra_sga,group_dec_sga,group_diameter_sga,brickname_sga,ra_sga,dec_sga,d26_sga,d26_ref_sga,pa_sga,ba_sga,ra_moment_sga,dec_moment_sga,sma_moment_sga,type,z,sn_ra,sn_dec
0,dr9,ZTF18abwkxgo,AT2018iac,None,None,AT2018iac,one_shot_dL,9907739343651924.0,58.09079185019816,97.368862947213,34.77253029475375,94.73409692481208,20.002860745154223,156.9826668348113,58466.24097928034,57430.11787708887,1.0043372527384078e+18,611355.0,17.209671,18.189045,13.661811,2894.1543,3048.2449,465623.62,541178.4,542531.4,541772.75,0.0,1281903400000.0,26.653465,51.464188,58.492847,47.07432,426.39615,926.18915,65.50126,18.935616,18.221237,18.082243,18.318039,15.925467,15.083251,17.959375,0.0724,7.613838,15.766455,21.38486,7.614624,15.767838,21.386724,21.511778,390.1775,108.32037,2.306203,0.692685,0.001083,1.4e-05,39.90602,44.5458,57.779545,46.720943,425.71146,925.62726,60.419777,0.005249,0.004504,0.06401,0.037332,0.144438,0.527174,0.002628,0.999985,0.999981,0.999968,0.000132,0.000159,0.071517,,17.52293,110.07311,7.447425,0.00289,,31.567448,19.359919,4.728139,119.23692,20.299103,65.59577,18.184639,1077.3113,280.45645,85.92319,0.790327,3766116.0,19.16831,18.377983,18.095564,18.326221,15.927212,15.08391,18.047052,0.807091,0.865569,0.987805,0.992493,0.998394,0.999393,0.922422,17.208418,18.19178,13.661969,29230061.0,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.047,381.64685,4.997672,0.99127,0.001136,1.4e-05,143.03517,1.948758,2.023508,1.482521,1193738000000.0,16.079203,3.176197,18.682085,1.291333,0.606104,0.647868,0.126215,3.538298,2015.5,59699.0,0.330931,0.0,1.0,0.0,0.0,0.0,0.0,291331.53,0.799824,424.92023,463.61966,87.7451,38.88476,14.0121,3.456514,381.67905,-0.230658,2.39901,0.843302,278.72418,290.9619,-0.048512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,179.0,182.0,3.0,0.0,21.0,197.0,20.0,0.0,0.0,6.0,5.0,209.0,210.0,15.0,15.0,5.0,9011.0,0.0,0.0,0975p580,G2,REX,0969p575,0.138644,9999.138644,9.769274868316016e-05,0.3516938952593766,,0.4397141061775798,0.0010185496916514,0.4407326558692313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,97.3688,58.0907
2,dr9,ZTF18abwkxgo,AT2018iac,None,None,AT2018iac,one_shot_dL,9907739343651676.0,58.09939247452654,97.3477431929858,34.78042205526101,94.71988435220293,19.99520649864585,156.97007655940908,58466.24097928034,57430.11787708887,0.0,611355.0,51.30754,54.049576,42.45595,3047.2437,3166.788,4726.092,5995.784,6186.342,6067.3013,6189.2925,30717334000.0,2.254796,7.139284,43.01752,30.9437,268.13965,-898.22406,14.803216,21.617231,20.365864,18.415886,18.77357,16.429098,,19.57411,0.072656,0.349923,1.188519,2.626838,0.349923,1.188519,2.626838,1.818446,242.78131,63.28145,1.65779,0.470807,0.000728,1.2e-05,17.068085,6.176384,42.49109,30.710592,267.70755,-897.67725,13.650903,0.2019,0.123731,0.131815,0.183304,0.504215,1.078518,0.115499,0.916387,0.916054,0.914962,0.078759,0.079429,0.073909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.3113,280.45645,85.92319,1.327585,3766116.0,21.85075,20.523165,18.429255,18.78178,16.43085,,19.662096,0.806479,0.865127,0.987762,0.992467,0.998389,0.999391,0.922158,51.108902,53.839832,42.328297,29230061.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.047,381.64685,4.997672,0.99127,0.001136,1.4e-05,143.03517,1.948758,2.023508,1.482521,47739572000.0,41.167934,0.850056,0.821901,1.41391,0.720974,0.57466,0.105726,0.852079,0.0,59699.0,0.861069,0.0,4.0,3109.7834,0.259706,1887.0345,0.12839,230.08957,2.842959,28.334003,49.132915,54.709476,21.072187,7.225497,-3.044372,56.39671,-0.352526,2.350931,,293.40912,302.12744,1.232841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,216.0,215.0,15.0,16.0,5.0,9011.0,0.0,0.0,0975p580,,DEV,0969p575,0.533319,9999.533319,0.0141212117847463,50.83636242508701,,17.881496857706008,0.4146529963021089,18.29614985400812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,97.3688,58.0907
3,dr9,ZTF18acbvugp,AT2018iap,None,None,AT2018iap,one_shot_dL,9907739590594088.0,59.342655436853086,95.1822435582667,35.96202478241736,93.26198284038205,19.36754024014721,155.31950533301116,58170.13388195263,57421.12541539266,0.0,615123.0,20.838373,14.416947,13.473674,1280.0845,3072.9182,631.6842,723.43195,767.6993,778.6985,779.845,4101005300.0,1.012143,1.640293,-0.333631,-1.805788,-61.844387,-388.84976,2.328858,22.486895,21.962696,,,,,21.582142,0.083309,0.300466,0.527753,0.8062,0.30786,0.546339,0.843378,0.790934,475.47772,162.46588,3.468128,0.828333,0.001015,1.4e-05,38.31987,1.389236,-0.328954,-1.790199,-61.73013,-388.57834,2.122209,0.0,0.0,26.35325,4.37046,1.378706,4.1089,0.0,0.987445,0.994445,0.991125,0.033924,0.014206,0.013952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.1577,241.69003,58.261055,0.611589,3762069.0,22.75465,22.14306,,,,,21.68303,0.781445,0.846944,0.985981,0.991367,0.998152,0.999302,0.911266,20.81079,14.415705,13.470175,29240698.0,3624.0,0.0,0.0,0.0,0.0,0.0,0.0,802.3975,345.11957,4.898117,0.982658,0.001143,1.4e-05,99.73056,2.332059,1.757534,1.534705,7470583000.0,55.441708,0.747629,0.697517,2.900463,1.124041,0.523884,0.107152,0.840685,0.0,54955.0,0.460032,0.0,1.0,154.96407,0.359017,144.79881,-0.353889,191.90112,1.11618,17.246672,17.707495,-0.612608,-1.62931,-1.966444,-1.451257,13.13712,,,,122.654625,293.27243,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,199.0,201.0,14.0,15.0,3.0,9011.0,0.0,0.0,0951p592,,EXP,0950p590,0.454102,9999.454102,0.000136002148937,0.4896077361733053,,0.4386458601420069,0.0283688051098033,0.4670146652518102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,95.182,59.3426
4,dr9,ZTF18abvrgjc,ZTF18abvrgjc,None,None,None,one_shot_dL,9906620669100662.0,-1.9710259627327933,26.016527330776807,-11.883942126432288,23.392382453046192,-61.85979366916616,151.7702570792463,58401.30211365074,56544.34408268258,0.0,318952.0,13.800083,11.769587,12.08788,3289.0842,2197.568,86091.95,111278.914,117122.445,117570.05,117826.0,893242800000.0,6.142031,12.692309,24.603403,16.705702,41.18795,3466.7092,22.24069,20.52922,19.741148,19.022512,19.442839,18.463074,13.650207,19.13213,0.02688,1.945713,4.126544,7.403748,1.947871,4.131292,7.411546,5.672241,768.79114,484.63678,2.282025,0.550801,0.000715,1.1e-05,60.32105,12.029908,24.49158,16.65903,41.163383,3465.9285,21.583776,0.057887,0.059508,0.529662,0.543061,2.42499,0.940664,0.148748,0.999867,0.888814,0.874873,0.106916,0.002216,0.002872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818.534,1298.6041,127.37977,0.816269,2134718.0,20.615614,19.799345,19.027458,19.445875,18.463722,13.650451,19.16468,0.923512,0.947811,0.995455,0.997206,0.999404,0.999775,0.970463,14.999906,11.769472,12.087673,72920892.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.6394,2412.4531,4.217125,0.716744,0.000896,1.2e-05,238.83104,1.484822,1.194194,1.213412,1946658400000.0,88.41441,1.04301,9.104677,0.494443,0.276004,0.488715,0.087044,2.564661,0.0,406090.0,0.634665,976.8379,1.563715,57985.45,0.38754,50101.957,0.258397,33028.3,1.253502,157.2747,264.83203,36.997894,12.363657,1.1009,11.379166,167.63391,-0.418417,0.982153,4.813272,313.22116,209.76788,0.137222,0.0,0.0,0.0,2048.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,199.0,189.0,13.0,14.0,7.0,9010.0,0.0,0.0,0261m020,,SER,0257m016,0.222984,9999.222984,3.7691955065727407e-05,0.1356910382366186,,0.1082495586258487,0.0004751798243639,0.1087247384502127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,26.0165,-1.971
5,dr9,ZTF18abvrgjc,ZTF18abvrgjc,None,None,None,one_shot_dL,9906620669100628.0,-1.9730896265057527,26.015694128609,-11.88555897924982,23.390819939820314,-61.8620149389891,151.77054212873324,58401.30211365074,56544.34408268258,0.0,318952.0,34.246708,27.557598,28.179588,3300.5242,2169.2117,1861.4404,2310.8647,2480.5676,2445.3184,2480.8198,15901452000.0,1.178947,2.527267,1.808931,1.047824,-99.77901,-538.85046,4.049464,22.321264,21.493372,21.856445,22.44928,,,20.981506,0.026886,0.239134,0.526113,0.863148,0.239264,0.526389,0.863642,1.088754,462.44247,270.74768,1.859747,0.395011,0.00052,9e-06,28.10613,2.395344,1.800708,1.044896,-99.71948,-538.72906,3.929832,0.311569,0.216827,6.119688,8.554564,1.049049,2.338424,0.284141,0.91275,0.916718,0.915438,0.06636,0.055655,0.057624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.0441,1298.6041,127.37977,0.856094,2134718.0,22.407675,21.55158,21.861391,22.452318,,,21.014065,0.923497,0.9478,0.995454,0.997206,0.999403,0.999775,0.970457,34.07038,27.465204,28.074688,72920892.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,3270.2498,2412.4531,4.217125,0.716744,0.000896,1.2e-05,238.83104,1.484822,1.194194,1.213412,35893457000.0,28.617455,1.028853,1.004412,0.544334,0.463424,0.404899,0.10816,0.970661,0.0,406090.0,0.537516,0.0,4.0,1384.0096,0.47679,775.51215,0.140298,120.70405,2.826463,23.413086,39.41398,2.455671,0.656716,-2.274362,-1.605981,20.834087,-0.590927,,,314.3117,207.06635,-0.847326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,199.0,188.0,13.0,13.0,7.0,9010.0,0.0,0.0,0261m020,,DEV,0257m016,0.517014,9999.517014,0.0022394638979707,8.062070032694752,,2.8523529346376555,0.0918542035685338,2.944207138206189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,26.0165,-1.971
6,dr9,ZTF18abvrgjc,ZTF18abvrgjc,None,None,None,one_shot_dL,9906620669100328.0,-1.9743785991511933,26.007338273185702,-11.883708149803196,23.382394742437047,-61.86676517159234,151.75572291307148,58401.30211365074,56544.34408268258,0.0,318952.0,21.826075,16.532883,17.759996,3415.2686,2151.4927,673877.25,876011.1,901922.25,876772.06,901968.1,11001493000000.0,19.495735,53.118,88.91302,58.633427,-13.400353,-1793.0132,100.558075,19.27515,18.186895,17.627586,18.079638,,,17.493958,0.026751,5.427475,15.17486,29.410887,5.427475,15.174861,29.410889,18.011442,362.25153,184.19518,1.571462,0.439294,0.000642,1e-05,33.065563,50.358795,88.51084,58.470406,-13.392399,-1792.6112,97.60201,0.00063,0.000445,0.030752,0.037122,3.201546,0.483314,0.00023,0.886854,0.87266,0.942587,0.011557,0.009878,0.009798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601.1058,1168.4845,127.37977,1.116316,2134718.0,19.361128,18.244812,17.63251,18.08266,,,17.526354,0.923866,0.948055,0.995477,0.99722,0.999406,0.999776,0.970603,21.832983,16.533,16.075378,72920889.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.939,2192.9927,4.217125,0.716744,0.000896,1.2e-05,238.83104,1.502322,1.175895,1.213412,11776639000000.0,99.981476,1.174003,1.477585,1.519479,0.820822,0.383298,0.119656,1.48455,0.0,406090.0,0.718458,2570.4353,3.690905,463690.97,0.066578,223809.27,-0.008292,180127.0,1.218776,342.8101,683.46216,110.955376,38.75375,-0.339311,-5.754178,561.23755,-0.450151,,,325.24466,205.38078,-0.106155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,203.0,191.0,13.0,14.0,7.0,9010.0,0.0,0.0,0261m020,,SER,0257m016,0.160773,9999.160773,0.0097597494649757,35.13509807391262,,28.82818341837435,0.055731916152636,28.883915334526986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,26.0165,-1.971
7,dr9,ZTF18abottbj,ZTF18abottbj,None,None,None,one_shot_dL,9906619445085468.0,-5.136073341501262,30.37155870124828,-16.406192591386972,26.39205378499308,-62.39371876168083,163.22880250554545,58411.25418235075,56592.1481317326,0.0,300275.0,74.93057,56.67165,53.180622,3004.5112,3364.8237,489402.94,661665.44,709549.9,662026.9,712795.8,7497821700000.0,20.585123,72.81279,157.40689,107.293205,-26.24843,-692.9889,144.79292,19.216116,17.84448,17.00744,17.423569,,,17.098131,0.027495,2.953416,10.727921,21.854816,2.953416,10.727921,21.854816,18.976078,180.69229,88.015686,0.749099,0.228153,0.000704,1.3e-05,11.698715,68.92827,156.67516,106.98662,-26.232416,-692.8292,140.42,0.009821,0.003702,0.043587,0.073164,3.200776,1.465552,0.002866,0.90709,0.903191,0.929088,0.067258,0.064634,0.070298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.07,1489.4662,137.14883,1.400476,2144555.0,19.304483,17.904007,17.012499,17.426676,,,17.131428,0.921835,0.946651,0.995351,0.997143,0.99939,0.99977,0.969799,71.48568,52.729874,52.121548,72519981.0,1309.0,0.0,0.0,0.0,0.0,0.0,0.0,2890.5352,2767.2456,4.284754,0.790573,0.001586,2.1e-05,282.2925,1.680347,1.215461,1.101786,7202618000000.0,41.095985,1.027877,1.225492,1.325962,0.645007,0.603203,0.08336,1.312705,0.0,427606.0,0.772579,5266.9727,6.0,323768.6,-0.045066,283962.53,-0.038264,14749.616,4.182414,255.07993,646.6621,135.60312,51.102528,-0.695918,-2.4771,480.28394,-0.414177,,,286.16345,247.54738,0.118929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,194.0,189.0,24.0,24.0,8.0,9010.0,0.0,0.0,0304m052,,SER,0303m046,0.246154,9999.246154,0.0087652314612007,31.554833260322848,,7.544646048985789,0.0148532500893392,7.559499299075128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,30.37,-5.1447
8,dr9,ZTF18abottbj,ZTF18abottbj,None,None,None,one_shot_dL,9906619445085352.0,-5.145135233597772,30.36842338539637,-16.41353748268382,26.385634222779785,-62.40291866326608,163.23460635053175,58411.25418235075,56592.1481317326,0.0,300275.0,11.108706,8.040742,7.571805,3047.401,3240.3025,4732.714,5799.5947,5762.632,5867.3833,5870.5005,61283610000.0,1.209129,2.209473,1.67261,2.138342,-31.631477,-884.1203,3.160377,22.293818,21.639278,21.941513,21.674807,,,21.250652,0.027499,0.49442,0.927792,1.359548,0.4945,0.928084,1.360143,1.114601,1263.9347,805.655,3.302495,0.706511,0.001466,2e-05,82.8069,2.091579,1.664833,2.13223,-31.612175,-883.91656,3.064913,0.004061,0.000969,0.392734,0.919378,0.637639,0.538813,0.000567,0.869501,0.996228,0.995592,0.01059,0.007139,0.007593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.829,1184.1544,114.07818,0.683388,2144555.0,22.382202,21.698814,21.946573,21.677916,,,21.283955,0.921821,0.946641,0.99535,0.997142,0.99939,0.99977,0.969793,11.097337,8.037289,7.571513,72519980.0,1191.0,0.0,0.0,0.0,0.0,0.0,0.0,2683.6206,2200.088,4.284754,0.790573,0.001586,2.1e-05,238.36087,1.582646,1.197327,1.085677,84812450000.0,35.444813,1.054131,0.988524,0.657272,0.249004,0.411079,0.093198,0.962937,0.0,427606.0,0.41486,0.0,1.0,2332.2644,0.158332,2062.8037,-0.142408,4473.343,0.744501,39.626133,59.367508,3.025463,1.792229,-1.210394,-3.949429,27.890184,0.268658,,,290.25143,235.68318,-0.662619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,192.0,191.0,24.0,24.0,7.0,9010.0,0.0,0.0,0304m052,,EXP,0303m046,0.366965,9999.366965,0.001629463854232,5.866069875235203,,7.879196771038861,0.1582342748923684,8.03743104593123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,30.37,-5.1447
9,dr9,ZTF18abottbj,ZTF18abottbj,None,None,None,one_shot_dL,9906619445085340.0,-5.137863461354757,30.368084838628747,-16.406626406126737,26.38801811749603,-62.39717916618073,163.22494127737517,58411.25418235075,56592.1481317326,0.0,300275.0,11.267094,7.419899,6.928891,3052.0486,3340.2197,545.71265,681.3623,689.6143,715.75696,725.8167,12625309000.0,0.493929,0.566165,0.829144,0.743488,-29.376505,-1423.09,1.211062,23.265839,23.117641,22.703424,22.821815,,,22.292084,0.027508,0.213716,0.25157,0.551288,0.219243,0.271646,0.592195,0.455302,1437.416,936.215,3.006055,0.672915,0.001464,2e-05,111.26509,0.535946,0.825287,0.741362,-29.358574,-1422.7618,1.174468,0.149881,0.327269,17.075682,17.87695,1.474464,0.8717,0.184241,0.845469,0.754351,0.998514,0.015963,0.007592,0.008429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.9854,1184.1544,137.14883,0.177053,2144555.0,23.35425,23.177197,22.708487,22.824924,,,22.325397,0.921797,0.946625,0.995349,0.997141,0.99939,0.999769,0.969784,10.685801,7.422232,6.910238,72519980.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.4565,2200.088,4.284754,0.790573,0.001586,2.1e-05,282.2925,1.64231,1.197327,1.101786,6382938600.0,63.033684,1.095635,0.978345,1.750401,0.378788,0.532833,0.086448,1.065908,0.0,427606.0,0.851799,0.0,1.0,310.12006,-0.391044,250.82355,-0.080558,507.71805,0.787275,17.262005,16.398678,1.430881,0.60815,-1.123249,-6.308641,12.388556,-0.116438,,,290.693,245.20363,-0.383089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,191.0,190.0,24.0,24.0,8.0,9010.0,0.0,0.0,0304m052,,EXP,0303m046,1.04776,10000.04776,0.0070976509939919,25.55154357837103,,32.45567759470456,1.829586378683315,34.28526397338788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,30.37,-5.1447
10,dr9,SNF20070912-000,SNF20070912-000,None,None,None,historical_SNIa,9906628199712440.0,18.153205237667784,1.153304875735649,16.155305452344173,8.470216774428216,-43.317069838869365,107.56590744394754,58433.13773584073,56884.3565068126,0.0,433860.0,23.073822,21.249086,18.856493,2180.45,469.5246,16188.138,20180.71,21106.229,21032.875,21165.457,113214690000.0,8.44312,11.237862,16.426733,14.258681,14.670147,-2040.6991,15.530255,20.183743,19.873291,19.461123,19.614801,19.583914,,19.522053,0.029306,2.139721,2.929779,4.154445,2.139726,2.929781,4.154447,7.741529,154.97672,69.81106,2.562012,0.596161,0.00068,1e-05,16.32135,10.599964,16.345352,14.215258,14.660607,-2040.198,15.030817,0.04011,0.005416,0.124,0.126501,0.954321,0.957922,0.003485,0.598625,0.969758,0.989501,0.017124,0.012841,0.012677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.94202,207.72556,45.2344,0.341194,4071887.0,20.277933,19.936739,19.466515,19.618113,19.58462,,19.557543,0.916904,0.943237,0.995046,0.996955,0.99935,0.999754,0.967841,21.6166,20.46995,18.852037,80729473.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,593.08875,322.70322,4.564694,0.802204,0.000734,1e-05,78.09527,1.895878,1.562051,1.348832,196463120000.0,50.177567,1.122737,1.136558,1.318684,0.484476,0.636466,0.11341,1.114194,0.0,269827.0,0.379196,139.78154,2.069385,88984.71,0.260247,95223.516,0.285321,55153.277,1.582269,96.374016,88.565895,26.16284,10.975811,0.382265,-6.420943,60.724037,-0.151598,0.033493,,208.63062,44.798775,0.091028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,203.0,203.0,12.0,12.0,3.0,9010.0,0.0,0.0,0011p182,,SER,0015p181,0.391915,9999.391915,0.0007215220828709,2.5974794983353044,,1.6416168795162545,0.0044177977403035,1.646034677256558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNIa,-9999.0,1.1531,18.1539
